BATCH CONTRACT SCRAPE SUMMARY
Completed At,2025-10-16T16:54:52.077947
Total Players,769
Succeeded,743
Failed,26
Success Rate,96.6%

SUCCESSFUL SCRAPES
Index,Player Name,NHL ID,Team,CapWages Slug,Contracts,Details
412,Bo Horvat,8477500,NYI,bo-horvat,3,54
413,Anders Lee,8475314,NYI,anders-lee,4,56
414,Kyle MacLean,8481237,NYI,kyle-maclean,2,8
415,Jean-Gabriel Pageau,8476419,NYI,jean-gabriel-pageau,4,56
416,Kyle Palmieri,8475151,NYI,kyle-palmieri,5,85
418,Maxim Tsyplakov,8484958,NYI,maxim-tsyplakov,2,6
419,Ethan Bear,8478451,NYI,ethan-bear,5,50
420,Adam Boqvist,8480871,NYI,adam-boqvist,4,40
421,Tony DeAngelo,8477950,NYI,tony-deangelo,8,120
422,Scott Mayfield,8476429,NYI,scott-mayfield,4,68
423,Adam Pelech,8476917,NYI,adam-pelech,3,45
424,Ryan Pulock,8477506,NYI,ryan-pulock,4,68
425,Alexander Romanov,8481014,NYI,alexander-romanov,3,42
426,Matthew Schaefer,8485366,NYI,matthew-schaefer,1,3
427,Marcus Hogberg,8477405,NYI,marcus-hogberg,3,18
428,David Rittich,8479496,NYI,david-rittich,9,90
429,Ilya Sorokin,8478009,NYI,ilya-sorokin,4,52
430,Semyon Varlamov,8473575,NYI,semyon-varlamov,5,100
431,Jonny Brodzinski,8477380,NYR,jonny-brodzinski,7,77
432,Sam Carrick,8475842,NYR,sam-carrick,9,135
433,Will Cuylle,8482157,NYR,will-cuylle,2,12
434,Adam Edstrom,8481726,NYR,adam-edstrom,2,10
435,Noah Laba,8483690,NYR,noah-laba,1,2
438,Artemi Panarin,8478550,NYR,artemi-panarin,3,33
